Submission date	OS	Version	Rating	Combined Review	Likes
2023-02-07 19:12:47	iOS	1.4.4	1	Same complaints as everyone else - App barely loads anymore. Takes at least 30 seconds from the splash screen to boot up. My messages don’t send to the teachers. Cannot switch to another camera once in full screen video because the screen gets stuck. Video constantly freezes and I can’t close out of full screen video to another tab at all. Have to close the app and reopen every time.   Seriously, this app barely functions. Must be a lot cheaper for providers than the alternatives because I can’t otherwise imagine why they’d use it.	0
2023-02-07 17:38:20	iOS	1.4.4	1	App rarely works - If I could give this zero stars I would. The app often does not load. I’ve checked for updates and I have the last version. I’ve deleted and redownloaded and still have an app that fails to load.	0
2023-02-07 17:28:32	iOS	1.4.4	2	Just “okay” - This app needs some improvements.  1. The videos lag all the time  2. It continually states “no children” when mine are at daycare. This could be the app side or the daycares side. I know they have glitches on their side with checking children in on the app a lot.  3. Lag in posts. I scroll back through and see things posted days prior that we’re not posted on that day.  4. Overview is great when it works, I wish you could see a weekly overview and that not reset at midnight every night.	0
2023-02-07 16:19:32	iOS	1.4.4	1	Slow - This App is super slow, opens half the time and other half just sits at the initial screen when you open the App. Don't mind the layout and navigation, but it's just painfully slow.	0
2023-02-06 20:07:27	iOS	1.4.4	2	Slow - I find opening and closing the app is very slow and for things to load can take forever	0
2023-02-06 17:27:28	iOS	1.4.4	1	Too many freezes - This is irritating. I had to delete the app and reinstall it several times. And I still can’t go pass the into/logo. Like why???!!	0
2023-02-06 17:03:52	iOS	1.4.4	1	Glitches - This app is terrible. The idea is great but it constantly glitches and won’t load.  I saw I got a notification that I had a message from the teachers but I cannot get message to load.   I keeps saying my daughter is no longer assigned to the class (she is).  This app is constantly glitching like this.   By this point you would think they could have this up and running better than it is.	0
2023-02-06 16:08:22	iOS	1.4.4	1	Useless app & site - Watch Me Grow and Brightwheel were great whether stateside or from overseas to watch my kiddo. Sprout About is useless. Doesn’t load, picture is small and when you try to enlarge it only enlarges one side of picture. Video is basically non existent.   La Petit - bring back the live feed camera in clad rooms and we’ll all be happy.	0
2023-02-05 13:49:59	iOS	1.4.4	2	I'm a teacher who has to use this app - This newest Update is not great at all. my messages to my parents are not always sent, and that is so frustrating. Only about a 3rd of my parents are getting my weekly information board.   It's slow and logs me out at random. Clocking children in and out is a pain because it lags.   Sending daily photos and updates takes me over an hour because of lagging.   I'm hoping, the next update is an improvement.	0
2023-02-02 21:21:48	iOS	1.4.4	2	Glitchy - I can’t get bulletins to load at all. And messages only loads half the time. It won’t sign me out so I just keep deleting the app and reloading and hoping it’ll work this time but it doesn’t. I miss brightwheel.	0
2023-02-02 14:47:50	iOS	1.4.4	2	Consistently has issues loading or populating - The app is constantly crashing, not reliable whatsoever.	0
2023-02-02 14:33:39	iOS	1.4.4	1	Garbage App - This app is terrible and I hate that I am forced to use it to o keep up to speed with what’s going on with my kiddo. I think id be better off just calling the daycare.  The camera feature is buggy and often won’t close unless I force quit the app.  The app often takes more than a minute to open or switch tabs.  Tabs frequently open with no associated information unless I go to a different tab and then back (see previous point).  I don’t get notifications when my SO posts messages, only when employees respond to her.  Similarly, school employees aren’t notified when other employees respond.  Messaging is so segmented that employees organized in different groups (admin, classroom1, classroom2) can’t see each other’s messages.    In short, it’s slow, buggy, and poorly thought out.  If your daycare uses this app, I recommend finding a new daycare.	0
2023-01-31 13:21:31	iOS	1.4.4	1	Terrible - Doesn’t work, unstable, full of bugs.	0
2023-01-30 20:22:45	iOS	1.4.4	1	No staff message indicators and other shortcomings - There are no sticky alerts for staff messages. If you miss the push notification, you might miss important messages like, “your child needs more wipes” or “they’re sick” unless you check constantly yourself. This is either a bug or bad user interface design (I have every notification enabled). Messages are grouped by date, all of which are labeled “today”. You have to look at the individual timestamps. Staff cannot see messages once they are logged out. This is a step down from other apps like brightwheel. 2023/01/19 - timeout when loading on their latest version. Right now having the app is as good as not having it. < 1 star if I could.     1/19/2023 - “a timeout error has occurred. Please try again”. I’d really rather not…I’d rather be able to just use the app the first time… great update!    1/30/2023 -ongoing app slowness and timeouts. Latest version.	0
2023-01-30 19:03:21	iOS	1.4.4	1	App won’t open - Frozen on the splash screen since the latest update	0
2023-01-30 12:59:03	iOS	1.4.4	1	New Update - Downloaded the new update for this app, now it will not open. I think there’s something wrong with this new update	0
2023-01-24 7:16:14	iOS	1.4.3	1	Can never see photos - I hate this app! I can always see that the teachers have posted photos, but can never view them. Doesn’t matter if I’m on Wi-Fi or not	0
2023-01-23 15:25:48	iOS	1.4.3	4	Problems - Having issues with adding people to the Care Circle other than that, works great.	0
2023-01-19 12:30:12	iOS	1.4.3	1	Doesn’t meet my needs - I miss brightwheel.	0
2023-01-17 7:02:38	iOS	1.4.3	3	Missing functionality - I don’t get notifications when my child is checked in and out. The time out is too fast on the camera.   When you make the picture full screen you can’t zoom in	0
2023-01-16 7:26:17	iOS	1.4.2	3	It’s Ok - Needs improvements - I am a software tester in my career. This app has gotten to the point of being functional but needs a few improvements to make it as good as competitors.     1) The app is slow. Needs some additional allocation of resources to run faster and likely some code cleanup for various calls that take too long.   2) Saving photos and videos takes too many clicks.   3) directly messaging staff doesn’t exist in a clear format on this application. Having an inbox to message the school to tell them something that they can just reply back to cuts down on calls and let’s them reply when they have the time. You have a drop off and pick up location for this which is fine but needs stronger alerting on their end so they always see it. And allow comments on pictures and such. But strictly a messaging inbox to communicate would be huge.   4) Access on a computer would be nice.     Many of the other bugs people mention I haven’t experienced for a couple of months now so I think in that respect things are improving. Just threw out the main areas for improvement instead of small nit picking ones.	0
2022-12-20 18:18:17	iOS	1.4.2	1	Cannot scroll back in time for photos/videos - I attempted to scroll back to September to view photos/videos, however after going back one month the feed just turns white. We no longer have access to see memories of our kids growing up and reflect on how they have progressed.     With Brightwheel we were able to filter by dates. Additionally, we were able to view these on a computer web browser which made saving/downloading much easier.	1
2022-12-16 9:12:18	iOS	1.4.2	3	Photo and video saving features need improvement - Please allow filtering videos and pictures by date. Also enable auto download for them. App crashes when I want to review older pictures. Sometimes saving video requires multiple clicks.	1
2022-12-14 6:24:36	iOS	1.4.2	2	Just ok - Video freezes frequently. Also, if you play a video that was posted on the main feed and then continue to scroll along the feed, the video will continue to play, sometimes playing 2 audios overlapping each other. Difficult to scroll the posted photos quickly; opens another window which then you have to close out. Inconsistently receive messages (my husband will receive but I won’t) and we’re not always sure the teachers receive our messages. I do like the summary feature at the top and how I can see each of my children.	0
2022-12-08 5:31:59	iOS	1.4.1	3	Camera issues - Issues with cameras. Usually after an update. Currently haven’t been able to view for days.	0
2022-12-06 8:00:55	iOS	1.4.1	1	Seems like a beta release - The app is slow, glitchy, and often times not responsive. It takes the app a while to load photos, refresh the feed, and update messages. I get logged out frequently for no reason at all. The slowness makes the app mostly unusable. The app is so slow and glitchy it feels like it’s in a beta test mode. If it is indeed in beta testing we should all get paid as being testers/ devs.	0
2022-12-05 19:21:00	iOS	1.4.1	2	Comparing to Watch Me Grow - My issue with with both of these sites is their problem with viewing on iPad. It’s meant to be used only on the phone… also Watch Me Grow used 2 cameras whereas Sprout About only accesses one.   Sprout About does give way more info and photos	0
2022-12-05 8:18:12	iOS	1.4.1	5	Getting better by the Week - A solid App, great to have everything in one place. Don’t get discouraged by the low reviews from when it was first deployed. Lots of functionality improved and bugs worked out by now.	0
2022-12-01 7:35:21	iOS	1.4.0	1	Live video access restricted - Please give the school leadership the ability to reinstate live video access. I mistakenly took a single screen shot and my video access was removed. I am being told by our schools director that she is unable to reinstate and there is no options for appeal. She has asked that I get my video reinstated but does not know the path to take to request this. I understand the app says no screenshots when you first log into the app, but I have written a statement that it was a mistake and included the screenshot. Nothing was done with malicious intent. But there is no way to request an appeal. Who can I communicate with to request reinstatement?	0
2022-11-30 9:01:52	iOS	1.4.0	5	Great app! - Our daycare started using this app recently and the user interface is pretty great! But more than that, the company is very open and responsive to feedback. I shared some ideas that were quickly implemented, and they regularly reach out to their community for feedback. It’s been a great experience so far!	0
2022-11-22 14:11:16	iOS	1.4.0	3	Not bad - I don’t know Brightwheel as context but so far I only had one issue logging in and the developer responded within a day and that was resolved. The rest of the app provides what I need and I haven’t had any other issues. I have confidence in the developer as they do respond to the reviews, so that is a positive sign. I have noticed that I can access the app through a VPN. This makes me a little uncomfortable as I feel this should not happen for security reasons.	0
2022-11-15 8:55:38	iOS	1.4.0	1	Enough with the social agenda - My daughter is a girl and she ate her meal not their meal. This is not the place to be push your social agenda. These are little kids we are talking about.	0
2022-11-15 6:52:20	iOS	1.4.0	5	Peace of Mind - I love the ability to see my baby at any time of my day. Love the communication features with the staff, and makes notifications immediate!	0
2022-11-15 6:00:00	iOS	1.4.0	5	Love this app - Despite previous reviews, I am able to communicate with my daughter’s center with a response in a timely manner. I can check in on her in her classroom and I get pictures and lesson plans throughout the day! I love it. Sounds like some of the issues are with communication from the centers themselves and user related.	0
2022-11-08 14:58:49	iOS	1.3.2	2	OK app. - I love the idea of seeing my little one in daycare. The live feed gives me a sense of comfort…when it works. I usually have the app open all day to watch the live feed here and there and every single time it either freezes or times out or the app closes completely. I wish the live feedback was more reliable and less laggy.	0
2022-11-03 6:16:29	iOS	1.3.2	3	Getting Better - Although I somewhat agree with the “Disaster” Review, I do have to say that it is getting better and the staff are getting better at responding. The one thing that I do hope is that it is Apple Watch compatible so I can look at the updates from my watch while I’m working.	0
2022-11-01 18:37:08	iOS	1.3.2	1	Unreliable at best - This app is ridiculous. I want to go back to brightwheel! I almost never get updates. Can’t open it half the time. The only feature I like about it, when it works, is that I can view livestream directly from the app instead of having to open watch me grow	0
2022-11-01 10:35:50	iOS	1.3.2	2	Very buggy when scrolling through photos - This app is OK. It has a lot of great functionalities, unfortunately the app itself is extremely buggy. Whenever I try to scroll through photos, it’s like the app doesn’t register what I’m trying to do. It is very lagging and freezes all the time. It does weird things constantly. They need to hire a better developer to fix all of these ongoing problems.	0
2022-10-31 6:13:48	iOS	1.3.2	1	Your newest update kicked me out - Your newest update completely broke the app. It forced signed me out and will NOT let me back in even though I verified the login info with my kid’s school and with tech support to make sure it was correct. I sign in with my correct email and password, and enter the information, only to get a “data entry does not match our records” message every time. Im still waiting to hear from tech support about the issue because no one knows why this is happening. I also even tried uninstalling and reinstalling with no luck. Your app stinks:(	0
2022-10-28 15:24:01	iOS	1.3.2	5	A lot of unhappy Karens - Never had any issues with the app. I get daily updates and photos and I’m able to access the cameras. It’s been easy to use and quite functional.	0
2022-10-26 11:17:21	iOS	1.3.1	3	Update Causes Streaming Crash - The recent update causes an app crash when streaming on my iPad (the camera “loads” for about 10-15 seconds before crashing). Streaming on my phone is not an issue, but the iPad streaming worked fine until the most recent update.    Please review and fix. Thanks.	0
2022-10-25 20:02:26	iOS	1.3.1	1	App functions extremely poorly. - Quite simply, this app is horrible. Everything loads slowly if it loads at all. Constantly have to close and reload the app to make anything appear on the app. Often when you tap on a notification from the app it comes up to a blank SproutAbout screen. Almost everyday I have to to re-check mark the notifications I would like to receive because they constantly get uncheck marked on their own. I don’t get notifications at all about check ins or check outs. I honestly can’t say anything positive about this app sadly. I miss the brightwheel app, it was stable and reliable. SproutAbout has been nothing but a headache for everyone who uses it. This app either needs to be scrapped completely, or redone from the ground up. This is alarmingly bad for an app that daycare centers rely on for communication back between their staff and parents. I’m not one to write reviews let alone really negative ones, but this needed to be said.     An update to my review 10-25-2022: The app is improving but one of my biggest concerns still remains, we need to be receiving notifications about check ins and check outs from the app. Yes, we can go into the app and look manually to see when they’ve been checked in and out but, I would like to see real time notifications when they get checked in and out like we did with Brightwheel.	0
2022-10-18 6:35:58	iOS	1.3.0	1	Message Badges - We need badges for unread messages. Communication is impossible.	0
2022-10-13 15:20:00	iOS	1.3.0	1	Worst preschool app - Compared to brightwheel this app is terrible. The response is super late. We get updates on any photos and activities like the next day! Or we would constantly have to refresh the app to get any updates/ notification of our child activity. I have no idea why this preschool select this app and would need to prob bring it up to the schools director to seek another application. It’s frustrating using this app.	0
2022-10-13 14:20:12	iOS	1.3.0	1	Livestream has said disabled for weeks- still not resolved - So the school leadership has reached out to SproutAbout about my profile saying disabled she was informed 48 hours this was false, then I speak with 3 different people asking me the same basic questions and saying I will get a call back. Never do just someone knew asking me if my app is up to date and still having issues I say yes it’s up to date and yes it’s still shoveling disabled. They informed the daycare that it was resolved which it has not been… and they informed her they have a very small staff… I actually liked the app we used within the daycare prior I never had any issues. Brightwheel was amazing to use as well as WatchMeGrow. But for some reason SproutAbout is an issue for not only us parents but for the staff as well.	
2022-10-05 11:41:38	iOS	1.3.0	3	Livestream needs improvement - The livestream is always down.	0
2022-10-05 7:26:30	iOS	1.3.0	1	Not functional for communication - Its been months, close to a year, since our daycare started using the app and communication between classrooms/leadership and parents is STILL not functional. The updates referenced aren’t actually working (or haven’t solved the actual problems). Its incredibly that such critical communication is useless and the speed at which tech support is working to resolve is snails. I would prefer that our daycare stop wasting money on useless technology and actually communicate.	0
2022-10-03 17:33:12	iOS	1.3.0	5	Love SproutAbout! - This app is great! I’m a huge fan of having the interactions with my child’s teachers and having our live-streaming camera reviews all in one. Also love that I can communicate directly with my child’s teacher and school leadership separately. I’m a big fan!	0
2022-10-03 10:18:28	iOS	1.3.0	1	Echoing the other review - Omg please give us brightwheel back. It had its issues but omg SproutAbout is so bad! It regularly logs me out and then tells me the info my school gave me doesn’t match even though it does. I have to call and put in tickets almost every month just to wait weeks for a reply back from someone who doesn’t know or care, just for them to tell me it has to be “escalated.” How many times does it need to be escalated before someone does something? We are on 6, does it need to be ten? Cameras do not flip over to the correct rooms, pictures disappear, security issues are all over including sending push notifications to my phone when I’m logged out and can’t get back in! This means that a abusers who were on your kids profile then were removed can still be getting notifications about where your kid is in the facility and what they are doing! When they aren’t even in the app! What is the logging in even for? This is a huge security violation especially for those with estranged spouses or domestic abusers. On top of that, today a month’s worth’s of messages just poof disappears! I hate this app. It’s the worst.	1
2022-10-03 8:19:04	iOS	1.3.0	1	Horrible app - This app is the worst no wonder the low rating. Camera freezes constantly. Updates don’t load anymore.	0
2022-10-03 8:09:52	iOS	1.3.0	1	Still not working - I’ve been trying to get my login issues fixed through customer service for close to three weeks now. I haven’t been able to login in at all through the app this entire time. Incredibly frustrating experience and no one has any answers.	0
2022-10-03 5:23:44	iOS	1.3.0	5	Excellent App, Highly Recommended - Easy to use and well-organized app layout. Have used this app at two different daycares and the only issue user-based, regarding whether the center staff is updating it regularly. Incredibly easy to learn, and great way to communicate with my child’s care providers throughout the day. 10/10	0
2022-09-29 6:32:54	iOS	1.2.0	1	Slow Tech Support - For years we used watch me grow and brightwheel at childtime. Since switching there has been nothing but glitches in the app. The worst was when we switch to another school, Everbrook that uses sprout about. It took a week, with multiple phone calls to tech support, plus calling my old school to obtain my old guardian id (which isn’t used to log in to the app). So for a week I couldn’t see my children’s at their new school. Then when they added my children I still can’t communicate with the teachers, despite the ticket being “elevated”. While I get the notifications for messages I can’t message the teachers or answer their messages. So I’ve made another phone call and another ticket and it still isn’t resolved.	0
2022-09-28 7:45:43	iOS	1.2.0	1	Doesn’t work - Terrible app. Terrible customer service.	0
2022-09-26 6:56:48	iOS	1.2.0	1	Terrible, inept tech support - My kids were enrolled in a daycare that used SproutAbout in Washington state. We then moved to Pennsylvania, to another daycare that also uses the app. When we tried to login via our family code at the new daycare, the app did not work. We called tech-support and they opened a ticket for us and told us that they would be in contact with us when the issue was fixed. A week later, there is still no activity, and when I call back to ask about an update, they say that they are still working on it, waiting on feedback from their tech team, and that they are “not allowed to give an estimate on how long it will take to fix the issue.” They also told me that two tickets were created my name and that this may be a reason why things were moving more slowly, because they were “working double.” I asked why this happened and they said “it was probably because you didn’t tell them you had another ticket open already or had called before,” as though it’s my responsibility as the consumer to make sure the company only has one ticket open for me and doesn’t “work double.” This is the worst app I have and if I didn’t need it to check on my kids at daycare I would 100% not bother to have it waste any storage space on my phone.	0
2022-09-22 21:36:27	iOS	1.2.0	1	Application on iPhone 13. Not working - I have been trying to sign in and it keeps crashing at the sign on page. I have an updated. iPhone 13 it works on my families iPhones but not mine I am not able to even get on the sign on page I have ink sans reinstalled turned off my phone etc nothing and the customer service line is horrible they put me in hold and never get back to me	0
2022-09-22 15:04:05	iOS	1.2.0	1	Tech Support is Horrible - Tech support took three weeks to resolve my log in issue after promising it with be fixed in 48 hours. The apps functionality is fine once you are logged in.	0
2022-09-17 23:14:41	iOS	1.2.0	2	This app shouldn’t have been released till it was ready. - This app is very frustrating to use and I wish it was waited to be released cause all it did was make my job harder. Hopefully further updates will correct most of the issues.	0
2022-09-14 6:46:34	iOS	1.2.0	2	App keeps logging me out - I would rate this app with 5 stars if it would stay logged in. Other than that, the app works great.	0
2022-09-12 3:05:08	iOS	1.2.0	1	Opening screen just rotates Between title and opening page - I’m so frustrated with this app. It works 50% of the time and never when I need it. The signin page is intermittent, and I works out of the blue. This is very discouraging because when you need to send messages you can’t. The last update was a month, there are not frequent updates. I really miss brightwheel	0
